phase,command,working_directory,environment,start_timestamp_utc,end_timestamp_utc,duration_seconds,exit_code,passed_count,failed_count,skipped_count,important_warnings,output_artifact
baseline,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,"Python 3.11.9; CPU-only",2026-07-11T08:10:22Z,2026-07-11T08:10:31Z,8.9,0,183,0,0,none,/tmp/certgen_baseline_pytest.log
baseline,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -c 'import certgen; import certgen.certs.api; import certgen.stats'",.,"Python 3.11.9; CPU-only",2026-07-11T08:11:00Z,2026-07-11T08:11:00Z,0.1,0,3,0,0,none,/tmp/certgen_baseline_imports.log
baseline,"python3 -m compileall -q certgen tests",.,"Python 3.11.9",2026-07-11T08:11:00Z,2026-07-11T08:11:00Z,0.2,0,,,,none,/tmp/certgen_baseline_compile.log
baseline,"python3 -m certgen.notebooks.v9_static_analyzer --out-json /tmp/certgen_baseline_notebook_analysis.json --out-report /tmp/certgen_baseline_notebook_analysis.md",.,"Python 3.11.9; CPU-only",2026-07-11T08:11:00Z,2026-07-11T08:11:00Z,0.2,0,3,0,0,"pass was later contradicted by semantic notebook inspection",/tmp/certgen_baseline_notebook_analysis.json
baseline,"ruff check certgen tests",.,"ruff 0.15.8",2026-07-11T08:11:27Z,2026-07-11T08:11:27Z,0.2,1,0,24,0,"23 auto-fixable unused imports plus one unused local",/tmp/certgen_baseline_ruff.log
baseline,"mypy certgen",.,"mypy 2.1.0; no repository mypy configuration",2026-07-11T08:11:27Z,2026-07-11T08:11:49Z,22.0,1,0,111,0,"34 files affected; missing third-party stubs are mixed with real typing defects",/tmp/certgen_baseline_mypy.log
baseline,"python3 -m certgen.audit.v7_execution_development_audit --out /tmp/certgen_baseline_v7_audit.md --json-out /tmp/certgen_baseline_v7_audit.json",.,"Python 3.11.9; CPU-only",2026-07-11T08:11:27Z,2026-07-11T08:11:27Z,0.2,0,9,0,0,"blocked missing reference; audit checks existence and claim strings",/tmp/certgen_baseline_v7_audit.json
baseline,"python3 -m certgen.paper.v9_paper_firewall --out-json /tmp/certgen_baseline_paper_firewall.json --out-report /tmp/certgen_baseline_paper_firewall.md",.,"Python 3.11.9; CPU-only",2026-07-11T08:11:27Z,2026-07-11T08:11:27Z,0.2,0,36,0,0,"false negative later found in related-work prose",/tmp/certgen_baseline_paper_firewall.json
baseline,"python3 -m certgen.audit.final_execution_audit --out /tmp/certgen_baseline_final_execution_audit.md --json-out /tmp/certgen_baseline_final_execution_audit.json",.,"Python 3.11.9; CPU-only",2026-07-11T08:12:23Z,2026-07-11T08:12:23Z,0.2,0,1,0,0,BLOCKED_MISSING_REFERENCE_SAMPLES,/tmp/certgen_baseline_final_execution_audit.json
baseline,"python3 -m certgen.audit.v9_execution_supercharger_audit --out /tmp/certgen_baseline_v9_audit.md --json-out /tmp/certgen_baseline_v9_audit.json",.,"Python 3.11.9; CPU-only",2026-07-11T08:12:23Z,2026-07-11T08:12:23Z,0.3,0,22,0,0,"legacy status V9_SUPERCHARGER_READY_BLOCKED_BY_INPUTS",/tmp/certgen_baseline_v9_audit.json
baseline,"python3 -m certgen.audit.release_safety_v5 --out /tmp/certgen_baseline_release_safety.md --json-out /tmp/certgen_baseline_release_safety.json",.,"Python 3.11.9; CPU-only",2026-07-11T08:12:23Z,2026-07-11T08:12:23Z,0.2,0,1,0,0,"pass covers a curated release path list, not every repository file",/tmp/certgen_baseline_release_safety.json
baseline,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_paper_build main.tex",paper,"pdfTeX 1.40.29",2026-07-11T08:12:23Z,2026-07-11T08:12:23Z,0.2,1,0,1,0,"fatal unescaped underscore in results placeholder",/tmp/certgen_baseline_paper_compile.log
repair,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_paper_build_after_repair main.tex",paper,"pdfTeX 1.40.29",2026-07-11T08:15:46Z,2026-07-11T08:15:46Z,0.2,0,1,0,0,"non-fatal overfull boxes; 5-page placeholder PDF",/tmp/certgen_paper_build_after_repair/main.pdf
verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,"Python 3.11.9; CPU-only",2026-07-11T13:28:08Z,2026-07-11T13:28:16Z,8.0,1,204,8,0,"legacy self-audits exposed four guarded-prose incompatibilities plus recursive failures; repaired narrowly",/tmp/certgen_final_pytest.log
verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,"Python 3.11.9; CPU-only",2026-07-11T13:31:07Z,2026-07-11T13:31:14Z,7.0,0,212,0,0,none,/tmp/certgen_final_pytest_retry.log
verification,"python3 -m compileall -q certgen tests",.,"Python 3.11.9",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,0.2,0,,,,none,/tmp/certgen_final_compile.log
verification,"PYTHONDONTWRITEBYTECODE=1 python3 -c 'import certgen; import certgen.certs.api; import certgen.stats; import certgen.features.cache_v2'",.,"Python 3.11.9",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,0.1,0,4,0,0,none,/tmp/certgen_final_imports.log
verification,"ruff check certgen tests",.,"ruff 0.15.8",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,0.2,0,1,0,0,"all checks passed after 27 findings repaired",/tmp/certgen_final_ruff.log
verification,"mypy certgen",.,"mypy 2.1.0; no repository mypy configuration",2026-07-11T13:31:56Z,2026-07-11T13:32:06Z,10.0,1,0,111,0,"34 files; same aggregate error count as baseline; no ignores/config weakening",/tmp/certgen_final_mypy_retry.log
verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py",.,"Python 3.11.9; CPU-only synthetic/statistical lane",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,1.0,0,31,0,0,"synthetic validation only; not model evidence",/tmp/certgen_final_stat_lane.log
verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_feature_cache_v2_contract.py tests/test_v7_importers.py tests/test_feature_cache_schema.py tests/test_feature_cache_v3.py tests/test_v6_execution_gates.py",.,"Python 3.11.9; CPU-only fixture artifact lane",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,1.0,0,25,0,0,"fixture/malicious archive checks only; not model evidence",/tmp/certgen_final_artifact_lane.log
verification,"python3 -m certgen audit notebooks && python3 -m certgen audit paper && python3 -m certgen audit artifact-registry && python3 -m certgen.audit.release_safety_v5 --out /tmp/certgen_final_release.md --json-out /tmp/certgen_final_release.json && python3 -m certgen.audit.final_execution_audit --out /tmp/certgen_final_execution.md --json-out /tmp/certgen_final_execution.json && python3 -m certgen.audit.v9_execution_supercharger_audit --out /tmp/certgen_final_v9.md --json-out /tmp/certgen_final_v9.json && python3 -m certgen.audit.forensic_final_audit",.,"Python 3.11.9; local-safe audit chain",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,1.0,0,7,0,0,"notebooks 3/3 static; paper pass; registry pass; release pass; execution blocked missing reference; V9 22/22; forensic 8/8",/tmp/certgen_final_forensic.log
verification,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_paper_final main.tex",paper,"pdfTeX 1.40.29",2026-07-11T13:31:56Z,2026-07-11T13:31:57Z,1.0,0,1,0,0,"four non-fatal overfull boxes; 5 pages; 178861 bytes",/tmp/certgen_paper_final/main.pdf
