command_id,command,working_directory,environment,start_time_utc,end_time_utc,exit_code,duration_seconds,passed,failed,skipped,warnings,output_artifact
baseline_full_pytest,PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q,.,local CPU Python 3.11 no CUDA,2026-07-13T05:02:57Z,2026-07-13T05:03:09Z,0,11.41,212,0,0,none,reports/CERTGEN_CVPR_BASELINE_REPRODUCTION.md
baseline_stat_lane,python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py,.,local CPU,2026-07-13T05:03:34Z,2026-07-13T05:03:35Z,0,1.04,22,0,0,reported 31 count not reproduced by documented lane,reports/CERTGEN_CVPR_BASELINE_REPRODUCTION.md
baseline_artifact_lane,python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_feature_cache_v2_contract.py tests/test_v7_importers.py,.,local CPU,2026-07-13T05:03:34Z,2026-07-13T05:03:35Z,0,1.05,18,0,0,reported 25 count not reproduced by documented lane,reports/CERTGEN_CVPR_BASELINE_REPRODUCTION.md
baseline_forensic,python3 -m certgen.audit.forensic_final_audit,.,local CPU,2026-07-13T05:03:34Z,2026-07-13T05:03:34Z,0,0.24,8/8,0,0,none,reports/CERTGEN_FORENSIC_MACHINE_AUDIT.json
baseline_mypy,mypy certgen,.,local Python 3.11,2026-07-13T05:04:05Z,2026-07-13T05:04:14Z,1,9.4,0,111 errors in 34 files,0,historical debt; critical new modules checked separately,CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md
final_ruff,python3 -m ruff check certgen tests scripts,.,local Python 3.11,2026-07-13T05:44:44Z,2026-07-13T05:44:44Z,0,0.17,all checks,0,0,none,reports/CERTGEN_CVPR_COMMAND_LEDGER.csv
final_full_pytest,PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q,.,local CPU Python 3.11 no CUDA,2026-07-13T05:44:44Z,2026-07-13T05:44:58Z,0,14.58,228,0,0,none,CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md
final_targeted_mypy,python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/cvpr certgen/visualization certgen/notebooks/cvpr_factory.py certgen/notebooks/cvpr_static_analyzer.py certgen/notebooks/cvpr_runtime.py certgen/audit/cvpr_final_audit.py scripts/build_cvpr_preexecution_assets.py tests/test_cvpr_statistical_contract.py tests/test_cvpr_architecture.py tests/test_cvpr_extended_synthetic.py,.,local Python 3.11,2026-07-13T05:44:44Z,2026-07-13T05:44:45Z,0,1.4,20 source files,0,0,none,reports/CERTGEN_CVPR_COMMAND_LEDGER.csv
final_full_mypy,python3 -m mypy certgen,.,local Python 3.11,2026-07-13T05:40:50Z,2026-07-13T05:41:06Z,1,15.31,0,111 errors in 34 files,0,exact pre-existing baseline debt; no incremental errors,CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md
final_paper_build,pdflatex -interaction=nonstopmode -halt-on-error main.tex (two passes),paper,local TeX Live 2026,2026-07-13T05:40:10Z,2026-07-13T05:40:11Z,0,0.25,5 pages,0,0,overfull boxes; PDF/log/aux removed after structural verification,paper/CERTGEN_CVPR_PAPER_BUILD_REPORT.md
final_notebook_static,python3 -m certgen audit notebooks,.,local CPU static only,2026-07-13T05:41:22Z,2026-07-13T05:41:22Z,0,0.19,5/5,0,0,not run on Kaggle,reports/CERTGEN_CVPR_NOTEBOOK_READINESS.md
final_cvpr_audit,python3 -m certgen audit cvpr,.,local CPU no external execution,2026-07-13T05:41:22Z,2026-07-13T05:41:23Z,0,0.19,8/8,0,0,blocked honestly on reference input,reports/CERTGEN_CVPR_FINAL_AUDIT.json
final_forensic,python3 -m certgen.audit.forensic_final_audit,.,local CPU,2026-07-13T05:42:17Z,2026-07-13T05:42:17Z,0,0.13,8/8,0,0,none,reports/CERTGEN_FORENSIC_MACHINE_AUDIT.json
final_execution_audit,CUDA_VISIBLE_DEVICES='' python3 -m certgen.audit.final_execution_audit --out docs/FINAL_EXECUTION_AUDIT.md --json-out data/results/final_execution_audit.json,.,local CPU no CUDA,2026-07-13T05:42:17Z,2026-07-13T05:42:17Z,0,0.12,blocked-honest,0,0,BLOCKED_MISSING_REFERENCE_SAMPLES,data/results/final_execution_audit.json
final_release_privacy,python3 -m certgen.audit.release_safety_v5 plus certgen.release.privacy_scan,.,local CPU,2026-07-13T05:42:17Z,2026-07-13T05:42:17Z,0,0.14,release and privacy,0,0,none,data/results/v5_release_safety.json
seal_compile_import,python3 -m certgen.notebooks.cvpr_factory; python3 scripts/build_cvpr_preexecution_assets.py; python3 -m compileall -q certgen scripts tests; canonical package imports,.,local CPU Python 3.11,2026-07-13T06:27:10Z,2026-07-13T06:27:11Z,0,0.5,compile imports notebooks generator,0,0,no execution,notebooks/kaggle/certgen_cvpr_*.ipynb
seal_full_pytest,PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q,.,local CPU Python 3.11 no CUDA,2026-07-13T06:27:15Z,2026-07-13T06:27:31Z,0,14.81,234,0,0,none,CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md
seal_required_lanes,statistical 31-test lane; artifact-contract 25-test lane; extended CVPR synthetic/gate 11-test lane,.,local CPU no CUDA,2026-07-13T06:27:51Z,2026-07-13T06:27:53Z,0,2.4,31+25+11,0,0,synthetic and fixture validation only,reports/CERTGEN_CVPR_COMMAND_LEDGER.csv
seal_targeted_mypy,python3 -m mypy --follow-imports=skip --ignore-missing-imports critical CVPR modules and tests,.,local Python 3.11,2026-07-13T06:28:31Z,2026-07-13T06:28:31Z,0,0.8,25 source files,0,0,none,reports/CERTGEN_CVPR_COMMAND_LEDGER.csv
seal_full_mypy,python3 -m mypy certgen,.,local Python 3.11,2026-07-13T06:28:31Z,2026-07-13T06:28:48Z,1,16.2,0,111 errors in 34 files,0,exact historical baseline debt; no incremental errors,CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md
seal_v9_compatibility,python3 -m certgen.audit.v9_execution_supercharger_audit --out docs/V9_EXECUTION_SUPERCHARGER_AUDIT.md --json-out data/results/v9_execution_supercharger_audit.json,.,local CPU,2026-07-13T06:29:08Z,2026-07-13T06:29:08Z,0,0.2,22/22,0,0,blocked honestly by inputs,data/results/v9_execution_supercharger_audit.json
seal_paper_build,pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_cvpr_paper_final main.tex (two passes),paper,local TeX Live 2026,2026-07-13T06:29:16Z,2026-07-13T06:29:17Z,0,0.4,5 pages 179875 bytes,0,0,3 overfull-box log lines; output kept outside repository,paper/CERTGEN_CVPR_PAPER_BUILD_REPORT.md
seal_release_privacy,python3 -m certgen.audit.release_safety_v5; certgen.release.privacy_scan,.,local CPU,2026-07-13T06:29:32Z,2026-07-13T06:29:32Z,0,0.3,release and privacy,0,0,none,data/results/v5_release_safety.json
