command_id,phase,command,cwd,start,end,duration_seconds,exit_code,passed,failed,skipped,warnings,output
baseline_default,baseline,"python3 -m pytest -q",.,2026-07-18T07:33:19.449Z,2026-07-18T07:33:26.932Z,7.480,0,258,0,4,none,"258 passed; 4 deselected"
baseline_integration,baseline,"python3 -m pytest -q -m integration_audit",.,2026-07-18T07:33:26.932Z,2026-07-18T07:33:51.778Z,24.850,0,4,0,258,none,"4 passed; 258 deselected"
baseline_statistical,baseline,"python3 -m pytest -q <statistical lane files>",.,2026-07-18T07:33:51.778Z,2026-07-18T07:33:52.653Z,0.880,0,31,0,0,none,"31 passed"
baseline_artifact,baseline,"python3 -m pytest -q <artifact-contract lane files>",.,2026-07-18T07:33:52.653Z,2026-07-18T07:33:55.416Z,2.760,0,15,0,0,none,"15 passed"
baseline_runtime,baseline,"python3 -m pytest -q tests/test_final_runtime_hardening.py tests/test_archive_portable.py",.,2026-07-18T07:33:55.416Z,2026-07-18T07:33:56.988Z,1.570,0,11,0,0,none,"11 passed"
baseline_real_closure,baseline,"python3 -m pytest -q tests/test_real_execution_closure.py",.,2026-07-18T07:33:56.988Z,2026-07-18T07:33:58.658Z,1.670,0,9,0,0,none,"9 passed"
baseline_final_closure,baseline,"python3 -m pytest -q tests/test_final_run_ready_closure.py",.,2026-07-18T07:33:58.658Z,2026-07-18T07:34:00.024Z,1.370,0,8,0,0,none,"8 passed"
baseline_compile_import,baseline,"python3 -m compileall -q certgen tests && python3 -c <8 critical imports>",.,2026-07-18T07:34:15.373Z,2026-07-18T07:34:15.670Z,0.300,0,9,0,0,none,"compile pass; 8 imports pass"
baseline_notebooks,baseline,"python3 -m certgen audit notebooks",.,2026-07-18T07:34:15.670Z,2026-07-18T07:34:15.835Z,0.170,0,5,0,0,real_Kaggle_untested,"5/5 static pass"
baseline_cvpr_audit,baseline,"python3 -m certgen.audit.cvpr_final_audit",.,2026-07-18T07:34:15.835Z,2026-07-18T07:34:16.018Z,0.180,0,8,0,0,none,"8/8 pass"
baseline_forensic,baseline,"python3 -m certgen.audit.forensic_final_audit --json-out <temporary> --out <temporary>",.,2026-07-18T07:34:16.018Z,2026-07-18T07:34:16.177Z,0.160,0,8,0,0,none,"8/8 pass"
baseline_v9,baseline,"python3 -m certgen.audit.v9_execution_supercharger_audit --out <temporary> --json-out <temporary>",.,2026-07-18T07:34:16.177Z,2026-07-18T07:34:16.353Z,0.180,0,22,0,0,legacy_compatibility_only,"22/22 pass"
baseline_firewall,baseline,"python3 -m certgen.paper.v9_paper_firewall --out-json <temporary> --out-report <temporary>",.,2026-07-18T07:34:16.353Z,2026-07-18T07:34:16.528Z,0.180,0,1,0,0,none,"paper firewall pass"
baseline_privacy,baseline,"python3 -c <scan_privacy and fail on issues>",.,2026-07-18T07:34:16.528Z,2026-07-18T07:34:16.664Z,0.140,0,1,0,0,none,"privacy pass; zero issues"
baseline_release,baseline,"python3 -m certgen.audit.release_safety_v5 --out <temporary> --json-out <temporary>",.,2026-07-18T07:34:16.664Z,2026-07-18T07:34:16.832Z,0.170,0,1,0,0,none,"release safety pass"
baseline_ruff,baseline,"python3 -m ruff check certgen tests",.,2026-07-18T07:34:16.832Z,2026-07-18T07:34:16.990Z,0.160,0,1,0,0,none,"all checks passed"
baseline_critical_mypy,baseline,"python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/__main__.py certgen/cvpr certgen/notebooks/workers",.,2026-07-18T07:34:16.990Z,2026-07-18T07:34:18.835Z,1.850,0,34,0,0,none,"no issues in 34 source files"
baseline_full_mypy,baseline,"python3 -m mypy certgen",.,2026-07-18T07:34:18.835Z,2026-07-18T07:34:28.933Z,10.100,1,0,111,0,34_files_historical_debt,"111 errors in 34 files; 286 files checked"
baseline_paper,baseline,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=<temporary> main.tex",paper,2026-07-18T07:34:28.933Z,2026-07-18T07:34:29.158Z,0.230,0,1,0,0,three_nonfatal_overfull_boxes,"5 pages"
baseline_diff,baseline,"git diff --check",.,2026-07-18T07:34:29.158Z,2026-07-18T07:34:29.329Z,0.170,0,1,0,0,none,"pass"
baseline_notebook_determinism,baseline,"python3 -m certgen.notebooks.cvpr_factory twice and compare SHA-256",.,2026-07-18T07:34:40.740Z,2026-07-18T07:34:41.177Z,0.440,0,5,0,0,none,"5/5 byte-identical"
final_archive_candidate,final_verification,"python3 -m certgen release build-archive --out dist/certgen_cvpr_100_percent_pre_run.zip",.,2026-07-18T08:14:37.315Z,2026-07-18T08:14:39.558Z,2.244,1,10,1,0,portable_rehearsal_found_relative_reference_path_defect,"portable tests and notebooks passed; complete rehearsal failed; candidate preserved in /tmp"
final_archive_verified,final_verification,"python3 -m certgen release build-archive --out dist/certgen_cvpr_100_percent_pre_run.zip",.,2026-07-18T08:15:37.959Z,2026-07-18T08:15:40.868Z,2.909,0,17,0,0,none,"ARCHIVE_VERIFIED; 779 members; 10 portable tests; 5 notebooks; complete rehearsal pass; sha256=69165fc17658079d7827b2ca2fbcffa23128ec66e24c0ba598cc8898d0154bb1"
final_default_recheck,final_verification,"python3 -m pytest -q",.,2026-07-18T08:17:14Z,2026-07-18T08:17:21Z,6.850,0,263,0,4,none,"263 passed; 4 deselected"
final_independent_audit_pre_archive_binding,final_verification,"python3 -m certgen audit final-pre-run --json",.,2026-07-18T08:17:33Z,2026-07-18T08:17:34Z,0.980,0,23,0,0,none,"23/23 local checks before explicit archive-status binding"
final_independent_audit,final_verification,"python3 -m certgen audit final-pre-run --json",.,2026-07-18T08:18:51Z,2026-07-18T08:18:52Z,1.000,0,24,0,0,none,"24/24 including independent built-archive hash/content verification; CVPR_100_PERCENT_PRE_RUN_READY"
final_archive_canonical_rebuild,final_verification,"python3 -m certgen release build-archive --out dist/certgen_cvpr_100_percent_pre_run.zip",.,2026-07-18T08:20:33.665Z,2026-07-18T08:20:36.560Z,2.895,0,17,0,0,none,"ARCHIVE_VERIFIED; 779 members; 10 portable tests; 5 notebooks; complete rehearsal pass; sha256=88423240a9b7132ac3fd0ee063d1a2c7d28f74d52f98821bb43d7a72178fdea0; external sidecar authoritative"
final_independent_audit_post_rebuild,final_verification,"python3 -m certgen audit final-pre-run --json",.,2026-07-18T08:22:38.200Z,2026-07-18T08:22:39.331Z,1.131,0,24,0,0,none,"24/24 against canonical rebuilt archive; CVPR_100_PERCENT_PRE_RUN_READY; claim_allowed=false"
