sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
1,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-07-22T03:33:37.610850Z,2026-07-22T03:33:37.751406Z,0.140634,0,reports/final_execution_path_command_logs/0001_baseline_compileall.stdout.log,reports/final_execution_path_command_logs/0001_baseline_compileall.stderr.log,PASS,,,
2,baseline_imports,python3 -c 'import certgen; import certgen.discovery; import certgen.notebooks.environment_bootstrap; print(certgen.__version__)',.,2026-07-22T03:33:37.822403Z,2026-07-22T03:33:38.322753Z,0.500587,0,reports/final_execution_path_command_logs/0002_baseline_imports.stdout.log,reports/final_execution_path_command_logs/0002_baseline_imports.stderr.log,PASS,,,
3,baseline_full_pytest,python3 -m pytest -q,.,2026-07-22T03:33:38.410439Z,2026-07-22T03:33:56.421498Z,18.011255,0,reports/final_execution_path_command_logs/0003_baseline_full_pytest.stdout.log,reports/final_execution_path_command_logs/0003_baseline_full_pytest.stderr.log,PASS,,,
4,baseline_integration_audits,python3 -m pytest -q -m integration_audit -o addopts=,.,2026-07-22T03:34:14.865577Z,2026-07-22T03:35:23.967115Z,69.101711,0,reports/final_execution_path_command_logs/0004_baseline_integration_audits.stdout.log,reports/final_execution_path_command_logs/0004_baseline_integration_audits.stderr.log,PASS,,,
5,baseline_universal_tests,python3 -m pytest -q tests/test_universal_kaggle_discovery.py tests/test_phase1_closure.py tests/test_final_runtime_hardening.py tests/test_engineering_evidence_safety.py,.,2026-07-22T03:35:38.236289Z,2026-07-22T03:35:45.290285Z,7.054292,0,reports/final_execution_path_command_logs/0005_baseline_universal_tests.stdout.log,reports/final_execution_path_command_logs/0005_baseline_universal_tests.stderr.log,PASS,,,
6,baseline_notebook_determinism,python3 -m certgen notebooks check-determinism --json,.,2026-07-22T03:35:45.374860Z,2026-07-22T03:35:45.499351Z,0.124740,0,reports/final_execution_path_command_logs/0006_baseline_notebook_determinism.stdout.log,reports/final_execution_path_command_logs/0006_baseline_notebook_determinism.stderr.log,PASS,,,
7,baseline_notebook_static,python3 -m certgen audit notebooks --json,.,2026-07-22T03:35:45.573658Z,2026-07-22T03:35:45.694205Z,0.120783,0,reports/final_execution_path_command_logs/0007_baseline_notebook_static.stdout.log,reports/final_execution_path_command_logs/0007_baseline_notebook_static.stderr.log,PASS,,,
8,baseline_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-07-22T03:35:45.769337Z,2026-07-22T03:35:46.028992Z,0.260942,0,reports/final_execution_path_command_logs/0008_baseline_diagnostic_bundle.stdout.log,reports/final_execution_path_command_logs/0008_baseline_diagnostic_bundle.stderr.log,PASS,,,
9,baseline_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-07-22T03:35:46.125054Z,2026-07-22T03:35:46.288250Z,0.163503,0,reports/final_execution_path_command_logs/0009_baseline_preflight_bundle.stdout.log,reports/final_execution_path_command_logs/0009_baseline_preflight_bundle.stderr.log,PASS,,,
10,baseline_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T03:36:01.560240Z,2026-07-22T03:36:01.700312Z,0.140294,0,reports/final_execution_path_command_logs/0010_baseline_provenance.stdout.log,reports/final_execution_path_command_logs/0010_baseline_provenance.stderr.log,PASS,,,
11,baseline_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T03:36:01.802985Z,2026-07-22T03:36:01.939264Z,0.136487,0,reports/final_execution_path_command_logs/0011_baseline_replay.stdout.log,reports/final_execution_path_command_logs/0011_baseline_replay.stderr.log,PASS,,,
12,baseline_paper_firewall,python3 -m certgen audit paper --json,.,2026-07-22T03:36:02.013261Z,2026-07-22T03:36:02.143110Z,0.130144,0,reports/final_execution_path_command_logs/0012_baseline_paper_firewall.stdout.log,reports/final_execution_path_command_logs/0012_baseline_paper_firewall.stderr.log,PASS,,,
13,baseline_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",.,2026-07-22T03:36:02.219368Z,2026-07-22T03:36:02.278658Z,0.059465,0,reports/final_execution_path_command_logs/0013_baseline_privacy.stdout.log,reports/final_execution_path_command_logs/0013_baseline_privacy.stderr.log,PASS,,,
14,baseline_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",.,2026-07-22T03:36:02.352954Z,2026-07-22T03:36:02.495397Z,0.142629,0,reports/final_execution_path_command_logs/0014_baseline_secrets.stdout.log,reports/final_execution_path_command_logs/0014_baseline_secrets.stderr.log,PASS,,,
15,baseline_restricted_large,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted,""claim_allowed"":False}); raise SystemExit(bool(blockers or restricted))'",.,2026-07-22T03:36:02.569072Z,2026-07-22T03:36:03.216245Z,0.647415,0,reports/final_execution_path_command_logs/0015_baseline_restricted_large.stdout.log,reports/final_execution_path_command_logs/0015_baseline_restricted_large.stderr.log,PASS,,,
16,baseline_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-07-22T03:36:03.294166Z,2026-07-22T03:36:03.395574Z,0.101655,0,reports/final_execution_path_command_logs/0016_baseline_release_scan.stdout.log,reports/final_execution_path_command_logs/0016_baseline_release_scan.stderr.log,PASS,,,
17,baseline_ruff,python3 -m ruff check certgen scripts tests,.,2026-07-22T03:36:11.413634Z,2026-07-22T03:36:11.995554Z,0.582425,0,reports/final_execution_path_command_logs/0017_baseline_ruff.stdout.log,reports/final_execution_path_command_logs/0017_baseline_ruff.stderr.log,PASS,,,
18,baseline_changed_mypy,python3 -m mypy --follow-imports=skip certgen/discovery certgen/notebooks/environment_bootstrap.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/cvpr_factory.py certgen/phase1/audit.py certgen/phase1/kaggle.py certgen/phase1/notebooks.py scripts/run_all_available_cpu_stages.py tests/test_universal_kaggle_discovery.py,.,2026-07-22T03:36:12.088936Z,2026-07-22T03:36:13.063470Z,0.974735,0,reports/final_execution_path_command_logs/0018_baseline_changed_mypy.stdout.log,reports/final_execution_path_command_logs/0018_baseline_changed_mypy.stderr.log,PASS,,,
19,baseline_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-07-22T03:36:13.137795Z,2026-07-22T03:36:22.212898Z,9.075224,1,reports/final_execution_path_command_logs/0019_baseline_full_mypy_debt.stdout.log,reports/final_execution_path_command_logs/0019_baseline_full_mypy_debt.stderr.log,EXPECTED_BOUNDARY,,,
20,baseline_final_pre_run,python3 -m certgen audit final-pre-run --json,.,2026-07-22T03:36:29.294432Z,2026-07-22T03:36:30.474931Z,1.180699,0,reports/final_execution_path_command_logs/0020_baseline_final_pre_run.stdout.log,reports/final_execution_path_command_logs/0020_baseline_final_pre_run.stderr.log,PASS,,,
21,baseline_maximum_ceiling,python3 -m certgen audit maximum-ceiling --json,.,2026-07-22T03:36:30.549874Z,2026-07-22T03:36:32.245622Z,1.696344,0,reports/final_execution_path_command_logs/0021_baseline_maximum_ceiling.stdout.log,reports/final_execution_path_command_logs/0021_baseline_maximum_ceiling.stderr.log,PASS,,,
22,baseline_cpu_execution,python3 -m certgen audit cpu-execution --json,.,2026-07-22T03:36:32.376066Z,2026-07-22T03:36:32.583998Z,0.208230,0,reports/final_execution_path_command_logs/0022_baseline_cpu_execution.stdout.log,reports/final_execution_path_command_logs/0022_baseline_cpu_execution.stderr.log,PASS,,,
23,baseline_kaggle_launch,python3 -m certgen audit kaggle-launch --json,.,2026-07-22T03:36:32.663380Z,2026-07-22T03:36:32.956506Z,0.293417,0,reports/final_execution_path_command_logs/0023_baseline_kaggle_launch.stdout.log,reports/final_execution_path_command_logs/0023_baseline_kaggle_launch.stderr.log,PASS,,,
24,baseline_universal_kaggle,python3 -m certgen audit universal-kaggle --json,.,2026-07-22T03:36:33.037472Z,2026-07-22T03:36:33.244559Z,0.207336,0,reports/final_execution_path_command_logs/0024_baseline_universal_kaggle.stdout.log,reports/final_execution_path_command_logs/0024_baseline_universal_kaggle.stderr.log,PASS,,,
25,implementation-reports,python3 scripts/generate_final_execution_path_reports.py,.,2026-07-22T04:03:53.433552Z,2026-07-22T04:03:53.501029Z,0.068489,1,reports/final_execution_path_command_logs/0025_implementation-reports.stdout.log,reports/final_execution_path_command_logs/0025_implementation-reports.stderr.log,FAIL,"reports/CERTGEN_FOUR_ACCOUNT_EXECUTION_PATH_MATRIX.csv,reports/CERTGEN_FINAL_DEPENDENCY_CLOSURE_MATRIX.csv",,
26,implementation-reports,python3 scripts/generate_final_execution_path_reports.py,.,2026-07-22T04:04:24.299789Z,2026-07-22T04:04:28.613713Z,4.314194,0,reports/final_execution_path_command_logs/0026_implementation-reports.stdout.log,reports/final_execution_path_command_logs/0026_implementation-reports.stderr.log,PASS,"reports/CERTGEN_FOUR_ACCOUNT_EXECUTION_PATH_MATRIX.csv,reports/CERTGEN_FINAL_DEPENDENCY_CLOSURE_MATRIX.csv",,
27,implementation-check,ruff check certgen/discovery certgen/notebooks/trusted_bootstrap.py certgen/notebooks/environment_bootstrap.py certgen/notebooks/final_zip.py certgen/notebooks/cvpr_factory.py certgen/notebooks/workers/preflight_worker.py certgen/phase1 tests/test_final_execution_path_seal.py scripts/run_all_available_cpu_stages.py scripts/generate_final_execution_path_reports.py,.,2026-07-22T04:04:43.905300Z,2026-07-22T04:04:43.954110Z,0.048953,1,reports/final_execution_path_command_logs/0027_implementation-check.stdout.log,reports/final_execution_path_command_logs/0027_implementation-check.stderr.log,FAIL,,,
