command_id,phase,command,working_directory,environment,exit_code,duration_seconds,passed,failed,skipped_or_deselected,evidence_class,output
baseline_full_pytest,baseline,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,"Python 3.11 local CPU",0,36.16,234,0,0,local_validation_only,reports/CERTGEN_FINAL_HARDENING_BASELINE.md
baseline_statistical,baseline,"python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py",.,local CPU,0,0.21,31,0,0,synthetic_validation_only,reports/CERTGEN_FINAL_HARDENING_BASELINE.md
baseline_artifact,baseline,"python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_feature_cache_v2_contract.py tests/test_v7_importers.py tests/test_feature_cache_schema.py tests/test_feature_cache_v3.py tests/test_v6_execution_gates.py",.,local CPU,0,0.41,25,0,0,fixture_artifact_validation,reports/CERTGEN_FINAL_HARDENING_BASELINE.md
final_default_pytest,verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,local CPU,0,4.49,241,0,4,local_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_integration_audit,verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q -m integration_audit",.,local CPU,0,18.61,4,0,241,integration_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_statistical,verification,"python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py",.,local CPU,0,1.14,31,0,0,synthetic_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_artifact,verification,"python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_feature_cache_v2_contract.py tests/test_v7_importers.py tests/test_feature_cache_schema.py tests/test_feature_cache_v3.py tests/test_v6_execution_gates.py",.,local CPU,0,1.16,25,0,0,fixture_artifact_validation,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_runtime_hardening,verification,"python3 -m pytest -q tests/test_final_runtime_hardening.py tests/test_archive_portable.py",.,local CPU,0,1.77,11,0,0,synthetic_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_cvpr_contracts,verification,"python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_runtime_planner.py tests/test_cvpr_extended_synthetic.py tests/test_cvpr_gates.py",.,local CPU,0,2.92,15,0,0,synthetic_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
final_synthetic_runtime,verification,"python3 -m certgen synthetic-runtime --out-dir /tmp/certgen_synthetic_runtime_fingerprint",.,local CPU,0,0.40,8,0,0,synthetic_validation_only,/tmp/certgen_synthetic_runtime_fingerprint/final_non_evidence_audit.json
final_compile,verification,"python3 -m compileall -q certgen tests",.,Python 3.11,0,0.19,1,0,0,software_validation_only,none
final_imports,verification,"python3 -c <critical import probe>",.,Python 3.11,0,0.28,11,0,0,software_validation_only,none
final_ruff,verification,"ruff check certgen tests",.,ruff,0,0.04,1,0,0,software_validation_only,none
final_critical_mypy,verification,"python3 -m mypy --follow-imports=skip --ignore-missing-imports <41 critical source files>",.,mypy,0,1.46,41,0,0,software_validation_only,none
final_full_mypy,verification,"python3 -m mypy certgen",.,mypy,1,23.25,0,111,0,historical_debt_inventory,"111 errors in 34 files; unchanged from baseline"
final_audits,verification,"notebook + registry + CVPR + forensic + V9 + final-execution + firewall + artifact + release audits",.,local CPU,0,1.60,9,0,0,local_audit_only,reports/CERTGEN_CVPR_FINAL_AUDIT.json
final_paper,verification,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_paper_runtime_hardening main.tex",paper,TeX Live 2026,0,0.18,1,0,0,document_build_only,"5 pages; 179907 bytes; 3 overfull boxes"
archive_probe,verification,"python3 -m certgen release build-archive --out /tmp/certgen_cvpr_archive_probe.zip",.,local CPU,0,1.03,688,0,0,release_validation_only,/tmp/certgen_cvpr_archive_probe.zip.manifest.json
final_archive,verification,"python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip",.,local CPU,0,0.91,688,0,0,release_validation_only,dist/certgen_cvpr_reproducibility.zip.manifest.json
final_default_confirmation,verification,"PYTHONDONTWRITEBYTECODE=1 CUDA_VISIBLE_DEVICES='' python3 -m pytest -q",.,local CPU,0,4.70,241,0,4,local_validation_only,reports/CERTGEN_FINAL_HARDENING_TEST_MATRIX.md
