command_id,phase,command,cwd,start,end,duration_seconds,exit_code,passed,failed,skipped,warnings,output
replacement_hash,replacement,shasum -a 256 CERTGEN_POST_CACHE_FINAL_FIXED.zip,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,0.2,0,1,0,0,none,d1a144dfa317f766b4c86e108a605de9a346e5e0cbb071b2f29d70e17bf530af
replacement_focused,replacement,python3 -m pytest -q tests/test_post_cache_final_closure.py tests/test_archive_portable.py tests/test_final_100_percent_pre_run.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,2.55,0,9,0,0,none,9 passed
replacement_audit,replacement,python3 -m certgen audit final-pre-run --json,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.0,0,24,0,0,none,CVPR_100_PERCENT_PRE_RUN_READY
baseline_default,baseline,python3 -m pytest -q,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,8.08,0,266,0,4,none,266 passed; 4 deselected
baseline_integration,baseline,python3 -m pytest -q -m integration_audit,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,33.17,0,4,0,266,none,4 passed; 266 deselected
baseline_statistical,baseline,python3 -m pytest -q tests/test_cvpr_statistical_contract.py tests/test_confidence_sequences.py tests/test_mmd_streams.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,0.20,0,19,0,0,none,19 passed
baseline_artifact,baseline,python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_feature_cache_v2_contract.py tests/test_engineering_evidence_safety.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,3.00,0,25,0,0,none,25 passed
baseline_runtime,baseline,python3 -m pytest -q tests/test_final_runtime_hardening.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.41,0,10,0,0,none,10 passed
baseline_real_closure,baseline,python3 -m pytest -q tests/test_real_execution_closure.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.41,0,9,0,0,none,9 passed
baseline_final_closure,baseline,python3 -m pytest -q tests/test_final_run_ready_closure.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.45,0,8,0,0,none,8 passed
baseline_post_cache,baseline,python3 -m pytest -q tests/test_post_cache_final_closure.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,2.88,0,3,0,0,none,3 passed
baseline_notebooks,baseline,python3 -m certgen audit notebooks --json,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,0.2,0,5,0,0,real_Kaggle_untested,5/5 static pass
baseline_audits,baseline,CVPR plus forensic plus V9 plus firewall plus final-pre-run audits,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.1,0,43,0,0,none,all pass
baseline_ruff,baseline,python3 -m ruff check certgen tests,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,0.2,0,1,0,0,none,all checks passed
baseline_critical_mypy,baseline,python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/__main__.py certgen/cvpr certgen/notebooks/workers,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.5,0,41,0,0,none,no issues in 41 source files
baseline_full_mypy,baseline,python3 -m mypy --no-incremental certgen,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,21.0,1,0,111,0,111_errors_in_34_historical_files,295 files checked; debt unchanged
baseline_paper,baseline,pdflatex -interaction=nonstopmode -halt-on-error -output-directory=<temporary> main.tex,paper,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.5,0,1,0,0,nonfatal_overfull_boxes,5 pages
final_default_preseal,final_verification,python3 -m pytest -q,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,8.57,0,273,0,4,none,273 passed; 4 deselected before final added product test
final_integration,final_verification,python3 -m pytest -q -m integration_audit,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,38.28,0,4,0,274,none,explicit recursive lane only
final_maximum_contracts,final_verification,python3 -m pytest -q tests/test_maximum_ceiling.py,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,2.16,0,8,0,0,none,all maximum-ceiling contracts pass
final_archive_initial,final_verification,python3 -m certgen release build-archive --out dist/certgen_max_ceiling_pre_run.zip,.,2026-07-19T04:38:45.266Z,2026-07-19T04:38:48.008Z,2.743,0,823,0,0,none,ARCHIVE_VERIFIED; 10 portable tests; 5 notebooks; rehearsal pass
final_maximum_audit,final_verification,python3 -m certgen audit maximum-ceiling --explain --json,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,1.0,0,19,0,0,none,CERTGEN_MAX_CEILING_PRE_RUN_READY; BLOCKED_ONLY_BY_REAL_INPUTS_AND_REAL_EXECUTION
final_default_sealed,final_verification,python3 -m pytest -q,.,runner_absolute_timestamp_not_exposed,runner_absolute_timestamp_not_exposed,8.74,0,274,0,4,none,274 passed; 4 deselected
