sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
1,baseline,git branch --show-current; git rev-parse HEAD; git status --short,.,2026-07-20T18:33:26.716107Z,2026-07-20T18:33:26.716107Z,0.0,0,reports/CERTGEN_PHASE1_BASELINE.md,,PASS,reports/CERTGEN_PHASE1_BASELINE.md;reports/CERTGEN_PHASE1_COMMAND_LEDGER.csv,,
2,discovery,python3 -m certgen --help,.,2026-07-20T18:33:59.815917Z,2026-07-20T18:33:59.955369Z,0.139378,0,reports/phase1_command_logs/0002_discovery.stdout.log,reports/phase1_command_logs/0002_discovery.stderr.log,PASS,scripts/phase1_command_runner.py,,
3,discovery,"sed -n 240,900p certgen/__main__.py",.,2026-07-20T18:34:05.590479Z,2026-07-20T18:34:05.594194Z,0.003657,0,reports/phase1_command_logs/0003_discovery.stdout.log,reports/phase1_command_logs/0003_discovery.stderr.log,PASS,,,
4,discovery,"sed -n 900,1120p certgen/__main__.py",.,2026-07-20T18:34:09.349789Z,2026-07-20T18:34:09.352418Z,0.002560,0,reports/phase1_command_logs/0004_discovery.stdout.log,reports/phase1_command_logs/0004_discovery.stderr.log,PASS,,,
5,discovery,rg --files notebooks/kaggle requirements artifacts/cvpr,.,2026-07-20T18:34:13.627445Z,2026-07-20T18:34:13.639194Z,0.011679,2,reports/phase1_command_logs/0005_discovery.stdout.log,reports/phase1_command_logs/0005_discovery.stderr.log,FAIL,,,
6,discovery,"sed -n 1,360p certgen/notebooks/cvpr_factory.py",.,2026-07-20T18:34:18.669308Z,2026-07-20T18:34:18.672145Z,0.002779,0,reports/phase1_command_logs/0006_discovery.stdout.log,reports/phase1_command_logs/0006_discovery.stderr.log,PASS,,,
7,discovery,rg -n 'kaggle|notebook|T4|dependency|asset' tests/test_final_100_percent_pre_run.py tests/test_final_run_ready_closure.py tests/test_final_runtime_hardening.py tests/test_v7_notebook_quality.py tests/test_v6_cpu_kaggle_packaging.py tests/test_v9_execution_supercharger.py,.,2026-07-20T18:34:24.938051Z,2026-07-20T18:34:24.945178Z,0.007076,0,reports/phase1_command_logs/0007_discovery.stdout.log,reports/phase1_command_logs/0007_discovery.stderr.log,PASS,,,
8,discovery,"sed -n 1,360p scripts/build_cvpr_preexecution_assets.py",.,2026-07-20T18:34:31.176190Z,2026-07-20T18:34:31.180170Z,0.003927,0,reports/phase1_command_logs/0008_discovery.stdout.log,reports/phase1_command_logs/0008_discovery.stderr.log,PASS,,,
9,discovery,python3 -m certgen readiness --help,.,2026-07-20T18:34:46.891865Z,2026-07-20T18:34:47.008513Z,0.116707,0,reports/phase1_command_logs/0009_discovery.stdout.log,reports/phase1_command_logs/0009_discovery.stderr.log,PASS,,,
10,discovery,python3 -m certgen next-action --help,.,2026-07-20T18:34:47.099139Z,2026-07-20T18:34:47.209244Z,0.110159,0,reports/phase1_command_logs/0010_discovery.stdout.log,reports/phase1_command_logs/0010_discovery.stderr.log,PASS,,,
11,discovery,python3 -m certgen doctor --help,.,2026-07-20T18:34:47.297734Z,2026-07-20T18:34:47.408436Z,0.110746,0,reports/phase1_command_logs/0011_discovery.stdout.log,reports/phase1_command_logs/0011_discovery.stderr.log,PASS,,,
12,discovery,python3 -m certgen kaggle --help,.,2026-07-20T18:34:47.496348Z,2026-07-20T18:34:47.607119Z,0.110829,2,reports/phase1_command_logs/0012_discovery.stdout.log,reports/phase1_command_logs/0012_discovery.stderr.log,EXPECTED_BOUNDARY,,,
13,discovery,python3 -m certgen notebooks --help,.,2026-07-20T18:34:47.695798Z,2026-07-20T18:34:47.806549Z,0.110804,2,reports/phase1_command_logs/0013_discovery.stdout.log,reports/phase1_command_logs/0013_discovery.stderr.log,EXPECTED_BOUNDARY,,,
14,discovery,python3 -m certgen audit --help,.,2026-07-20T18:34:47.895687Z,2026-07-20T18:34:48.007943Z,0.112316,0,reports/phase1_command_logs/0014_discovery.stdout.log,reports/phase1_command_logs/0014_discovery.stderr.log,PASS,,,
15,discovery,"sed -n 1,360p certgen/cvpr/package.py",.,2026-07-20T18:34:54.325607Z,2026-07-20T18:34:54.328892Z,0.003236,0,reports/phase1_command_logs/0015_discovery.stdout.log,reports/phase1_command_logs/0015_discovery.stderr.log,PASS,,,
16,discovery,"sed -n 1,360p certgen/notebooks/cvpr_static_analyzer.py",.,2026-07-20T18:34:54.438688Z,2026-07-20T18:34:54.441591Z,0.002852,0,reports/phase1_command_logs/0016_discovery.stdout.log,reports/phase1_command_logs/0016_discovery.stderr.log,PASS,,,
17,discovery,"sed -n 1,360p certgen/notebooks/environment_bootstrap.py",.,2026-07-20T18:34:54.552004Z,2026-07-20T18:34:54.555245Z,0.003182,0,reports/phase1_command_logs/0017_discovery.stdout.log,reports/phase1_command_logs/0017_discovery.stderr.log,PASS,,,
18,discovery,"sed -n 1,360p certgen/notebooks/final_zip.py",.,2026-07-20T18:34:54.666559Z,2026-07-20T18:34:54.669121Z,0.002511,0,reports/phase1_command_logs/0018_discovery.stdout.log,reports/phase1_command_logs/0018_discovery.stderr.log,PASS,,,
19,discovery,"sed -n 1,360p certgen/max_ceiling/contracts.py",.,2026-07-20T18:34:54.780138Z,2026-07-20T18:34:54.783981Z,0.003796,0,reports/phase1_command_logs/0019_discovery.stdout.log,reports/phase1_command_logs/0019_discovery.stderr.log,PASS,,,
20,discovery,"sed -n 1,360p certgen/audit/final_pre_run_audit.py",.,2026-07-20T18:34:54.896611Z,2026-07-20T18:34:54.899586Z,0.002923,0,reports/phase1_command_logs/0020_discovery.stdout.log,reports/phase1_command_logs/0020_discovery.stderr.log,PASS,,,
21,discovery,"sed -n 1,360p certgen/max_ceiling/audit.py",.,2026-07-20T18:34:55.012095Z,2026-07-20T18:34:55.015164Z,0.003017,0,reports/phase1_command_logs/0021_discovery.stdout.log,reports/phase1_command_logs/0021_discovery.stderr.log,PASS,,,
22,baseline_checks,python3 -m compileall -q certgen scripts tests,.,2026-07-20T18:35:06.565877Z,2026-07-20T18:35:06.677051Z,0.111148,0,reports/phase1_command_logs/0022_baseline_checks.stdout.log,reports/phase1_command_logs/0022_baseline_checks.stderr.log,PASS,,,
23,baseline_checks,"python3 -c 'import certgen; import certgen.__main__; import certgen.cvpr; import certgen.notebooks.cvpr_factory; print(""imports_ok"")'",.,2026-07-20T18:35:06.764713Z,2026-07-20T18:35:06.871615Z,0.106875,0,reports/phase1_command_logs/0023_baseline_checks.stdout.log,reports/phase1_command_logs/0023_baseline_checks.stderr.log,PASS,,,
24,baseline_checks,python3 -m pytest -q,.,2026-07-20T18:35:06.960767Z,2026-07-20T18:35:16.704175Z,9.745440,0,reports/phase1_command_logs/0024_baseline_checks.stdout.log,reports/phase1_command_logs/0024_baseline_checks.stderr.log,PASS,,,
25,discovery,"sed -n 1,340p certgen/notebooks/cvpr_static_analyzer.py",.,2026-07-20T18:35:24.000370Z,2026-07-20T18:35:24.002627Z,0.002202,0,reports/phase1_command_logs/0025_discovery.stdout.log,reports/phase1_command_logs/0025_discovery.stderr.log,PASS,,,
26,discovery,"sed -n 1,420p certgen/cvpr/prepare.py",.,2026-07-20T18:35:42.681958Z,2026-07-20T18:35:42.684334Z,0.002312,0,reports/phase1_command_logs/0026_discovery.stdout.log,reports/phase1_command_logs/0026_discovery.stderr.log,PASS,,,
27,discovery,rg -n 'license:|redistribution_allowed|public_archive_included|private_mount|required|expected_preprocessing|model_id:|feature_space_id:' registry/cvpr/model_registry.yaml registry/cvpr/feature_space_registry.yaml configs/cvpr/profiles/cifar_integrity_minimal.yaml,.,2026-07-20T18:35:47.427724Z,2026-07-20T18:35:47.433984Z,0.006209,0,reports/phase1_command_logs/0027_discovery.stdout.log,reports/phase1_command_logs/0027_discovery.stderr.log,PASS,,,
28,discovery,"sed -n 1,240p configs/cvpr/profiles/cifar_integrity_minimal.yaml",.,2026-07-20T18:35:51.278246Z,2026-07-20T18:35:51.280527Z,0.002224,0,reports/phase1_command_logs/0028_discovery.stdout.log,reports/phase1_command_logs/0028_discovery.stderr.log,PASS,,,
29,discovery,"sed -n 170,230p tests/test_final_runtime_hardening.py",.,2026-07-20T18:36:38.158924Z,2026-07-20T18:36:38.161212Z,0.002232,0,reports/phase1_command_logs/0029_discovery.stdout.log,reports/phase1_command_logs/0029_discovery.stderr.log,PASS,,,
30,discovery,rg -n 'write_canonical_notebooks|NOTEBOOK_SPECS|analyze_all' tests,.,2026-07-20T18:36:42.941324Z,2026-07-20T18:36:42.947515Z,0.006110,0,reports/phase1_command_logs/0030_discovery.stdout.log,reports/phase1_command_logs/0030_discovery.stderr.log,PASS,,,
31,discovery,"sed -n 1,420p certgen/notebooks/environment_bootstrap.py",.,2026-07-20T18:36:52.304608Z,2026-07-20T18:36:52.306913Z,0.002253,0,reports/phase1_command_logs/0031_discovery.stdout.log,reports/phase1_command_logs/0031_discovery.stderr.log,PASS,,,
32,discovery,rg -n 'def run_builder_faithful_synthetic|stages\[|stages\.append|rehearsal_status|def rehearse_failures|cases =' certgen/cvpr/builder_faithful.py certgen/max_ceiling/contracts.py,.,2026-07-20T18:37:26.262430Z,2026-07-20T18:37:26.268614Z,0.006135,0,reports/phase1_command_logs/0032_discovery.stdout.log,reports/phase1_command_logs/0032_discovery.stderr.log,PASS,,,
