sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
1,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-07-21T18:21:07.947113Z,2026-07-21T18:21:08.066487Z,0.119251,0,reports/universal_kaggle_command_logs/0001_baseline_compileall.stdout.log,reports/universal_kaggle_command_logs/0001_baseline_compileall.stderr.log,PASS,,,
2,baseline_imports,"python3 -c 'import certgen; from certgen.notebooks import kaggle_io, environment_bootstrap, model_assets; print('""'""'imports_ok'""'""')'",.,2026-07-21T18:21:08.150057Z,2026-07-21T18:21:08.340083Z,0.189917,0,reports/universal_kaggle_command_logs/0002_baseline_imports.stdout.log,reports/universal_kaggle_command_logs/0002_baseline_imports.stderr.log,PASS,,,
3,baseline_default_pytest,python3 -m pytest,.,2026-07-21T18:21:28.263413Z,2026-07-21T18:21:39.784556Z,11.521055,0,reports/universal_kaggle_command_logs/0003_baseline_default_pytest.stdout.log,reports/universal_kaggle_command_logs/0003_baseline_default_pytest.stderr.log,PASS,,,
4,baseline_integration_audits,python3 -m pytest -m integration_audit,.,2026-07-21T18:21:55.617933Z,2026-07-21T18:22:42.085586Z,46.467716,0,reports/universal_kaggle_command_logs/0004_baseline_integration_audits.stdout.log,reports/universal_kaggle_command_logs/0004_baseline_integration_audits.stderr.log,PASS,,,
5,implementation_compile_checkpoint,python3 -m compileall -q certgen scripts tests,.,2026-07-21T18:40:01.658773Z,2026-07-21T18:40:01.767235Z,0.108356,0,reports/universal_kaggle_command_logs/0005_implementation_compile_checkpoint.stdout.log,reports/universal_kaggle_command_logs/0005_implementation_compile_checkpoint.stderr.log,PASS,,,
6,implementation_focused_existing_tests,python3 -m pytest -q tests/test_phase1_closure.py tests/test_final_runtime_hardening.py tests/test_real_execution_closure.py,.,2026-07-21T18:40:21.968440Z,2026-07-21T18:40:25.429968Z,3.461436,1,reports/universal_kaggle_command_logs/0006_implementation_focused_existing_tests.stdout.log,reports/universal_kaggle_command_logs/0006_implementation_focused_existing_tests.stderr.log,FAIL,,,
7,regenerate_canonical_notebooks,python3 -m certgen notebooks generate --json,.,2026-07-21T18:40:38.110580Z,2026-07-21T18:40:38.229646Z,0.118953,0,reports/universal_kaggle_command_logs/0007_regenerate_canonical_notebooks.stdout.log,reports/universal_kaggle_command_logs/0007_regenerate_canonical_notebooks.stderr.log,PASS,"notebooks/kaggle/certgen_kaggle_environment_diagnostic_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_checkpoint_preflight_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_generation_1k_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_feature_extraction_t4x2.ipynb",,
8,universal_discovery_tests_initial,python3 -m pytest -q tests/test_universal_kaggle_discovery.py,.,2026-07-21T18:43:22.195766Z,2026-07-21T18:43:23.611234Z,1.415069,1,reports/universal_kaggle_command_logs/0008_universal_discovery_tests_initial.stdout.log,reports/universal_kaggle_command_logs/0008_universal_discovery_tests_initial.stderr.log,FAIL,,,
9,universal_discovery_tests,python3 -m pytest -q tests/test_universal_kaggle_discovery.py,.,2026-07-21T18:43:46.886670Z,2026-07-21T18:43:48.840248Z,1.953384,0,reports/universal_kaggle_command_logs/0009_universal_discovery_tests.stdout.log,reports/universal_kaggle_command_logs/0009_universal_discovery_tests.stderr.log,PASS,,,
10,generate_universal_reports,python3 scripts/generate_universal_kaggle_reports.py,.,2026-07-21T18:46:41.065346Z,2026-07-21T18:46:41.131408Z,0.065924,1,reports/universal_kaggle_command_logs/0010_generate_universal_reports.stdout.log,reports/universal_kaggle_command_logs/0010_generate_universal_reports.stderr.log,FAIL,"reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_MATRIX.csv,reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_REPORT.md,reports/CERTGEN_DEPENDENCY_CLOSURE_MATRIX.csv,reports/CERTGEN_DEPENDENCY_CLOSURE_REPORT.md,reports/CERTGEN_UNIVERSAL_DISCOVERY_AUDIT.md,reports/CERTGEN_PACKAGE_SECURITY_AUDIT.md,reports/CERTGEN_UNIVERSAL_KAGGLE_CURRENT_STATE.json",,
11,generate_universal_reports_retry,python3 scripts/generate_universal_kaggle_reports.py,.,2026-07-21T18:46:57.234217Z,2026-07-21T18:46:57.473429Z,0.239097,0,reports/universal_kaggle_command_logs/0011_generate_universal_reports_retry.stdout.log,reports/universal_kaggle_command_logs/0011_generate_universal_reports_retry.stderr.log,PASS,"reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_MATRIX.csv,reports/CERTGEN_FOUR_ACCOUNT_PORTABILITY_REPORT.md,reports/CERTGEN_DEPENDENCY_CLOSURE_MATRIX.csv,reports/CERTGEN_DEPENDENCY_CLOSURE_REPORT.md,reports/CERTGEN_UNIVERSAL_DISCOVERY_AUDIT.md,reports/CERTGEN_PACKAGE_SECURITY_AUDIT.md,reports/CERTGEN_UNIVERSAL_KAGGLE_CURRENT_STATE.json",,
12,regenerate_canonical_notebooks_final,python3 -m certgen notebooks generate --json,.,2026-07-21T18:47:12.456868Z,2026-07-21T18:47:12.578049Z,0.121070,0,reports/universal_kaggle_command_logs/0012_regenerate_canonical_notebooks_final.stdout.log,reports/universal_kaggle_command_logs/0012_regenerate_canonical_notebooks_final.stderr.log,PASS,"notebooks/kaggle/certgen_kaggle_environment_diagnostic_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_checkpoint_preflight_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_generation_1k_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_feature_extraction_t4x2.ipynb",,
13,notebook_static_and_determinism,python3 -m certgen notebooks check-determinism --json,.,2026-07-21T18:47:18.075968Z,2026-07-21T18:47:18.207268Z,0.131197,2,reports/universal_kaggle_command_logs/0013_notebook_static_and_determinism.stdout.log,reports/universal_kaggle_command_logs/0013_notebook_static_and_determinism.stderr.log,FAIL,,,
14,notebook_escape_repair_and_regeneration,python3 -m certgen notebooks generate --json,.,2026-07-21T18:47:57.584070Z,2026-07-21T18:47:57.703781Z,0.119596,0,reports/universal_kaggle_command_logs/0014_notebook_escape_repair_and_regeneration.stdout.log,reports/universal_kaggle_command_logs/0014_notebook_escape_repair_and_regeneration.stderr.log,PASS,"notebooks/kaggle/certgen_kaggle_environment_diagnostic_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_checkpoint_preflight_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_generation_1k_t4x2.ipynb,notebooks/kaggle/certgen_cvpr_feature_extraction_t4x2.ipynb",,
15,notebook_static_and_determinism_repaired,python3 -m certgen notebooks check-determinism --json,.,2026-07-21T18:48:03.625216Z,2026-07-21T18:48:03.764128Z,0.138796,0,reports/universal_kaggle_command_logs/0015_notebook_static_and_determinism_repaired.stdout.log,reports/universal_kaggle_command_logs/0015_notebook_static_and_determinism_repaired.stderr.log,PASS,,,
16,build_diagnostic_input,python3 -m certgen kaggle build-input --stage diagnostic --json,.,2026-07-21T18:48:47.751197Z,2026-07-21T18:48:47.930242Z,0.178930,0,reports/universal_kaggle_command_logs/0016_build_diagnostic_input.stdout.log,reports/universal_kaggle_command_logs/0016_build_diagnostic_input.stderr.log,PASS,artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,,
