method,effect_size,replicates,power,false_positive_rate,mean_CPU_seconds,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
permutation_mmd,0.0,30,,0.06666666666666667,0.0037666665331926195,True,True,True,False
permutation_mmd,0.2,30,0.03333333333333333,,0.0037150568949679535,True,True,True,False
permutation_mmd,0.4,30,0.0,,0.0037680249311961233,True,True,True,False
bootstrap_mmd,0.0,30,,0.0,0.0038527875304377327,True,True,True,False
bootstrap_mmd,0.2,30,0.0,,0.0038785277671801546,True,True,True,False
bootstrap_mmd,0.4,30,0.0,,0.0038528889378843206,True,True,True,False
naive_repeated,0.0,30,,0.0,0.0001345930329989642,True,True,True,False
naive_repeated,0.2,30,0.0,,0.0001346722963110854,True,True,True,False
naive_repeated,0.4,30,1.0,,0.000105898668213437,True,True,True,False
alpha_spending,0.0,30,,0.0,0.0011205694948633511,True,True,True,False
alpha_spending,0.2,30,0.0,,0.0011125917352425554,True,True,True,False
alpha_spending,0.4,30,0.0,,0.0011104556363231192,True,True,True,False
fixed_bonferroni,0.0,30,,0.0,0.0001064388663507998,True,True,True,False
fixed_bonferroni,0.2,30,0.03333333333333333,,0.00011529583134688437,True,True,True,False
fixed_bonferroni,0.4,30,1.0,,0.0001056528592016548,True,True,True,False
certgen_anytime,0.0,30,,0.0,0.00013768609690790375,True,True,True,False
certgen_anytime,0.2,30,0.0,,0.00013971666533810396,True,True,True,False
certgen_anytime,0.4,30,0.03333333333333333,,0.00013770836133820315,True,True,True,False
c2st,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
density_coverage,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
fid,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
fixed_rbf_mmd,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
kid,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
nearest_neighbor,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
precision_recall,,0,NOT_APPLICABLE_DESCRIPTIVE_ONLY,NOT_APPLICABLE_DESCRIPTIVE_ONLY,,True,True,True,False
