path,git_mode,object_type,git_object_hash,size_bytes,baseline_commit,immutable_legacy,claim_allowed
.gitignore,100644,blob,bd512dcbff3738ec9b030e190209b66b2ff7c370,1054,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_BLOCKERS.md,100644,blob,a7b5539e5150aab781b5ddddd87669edc04e14ff,442,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_BLOCKERS_V2.md,100644,blob,b8a767b264f668ecdbd9ba5a0e036c40cea0bf4b,233,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_LEDGER.jsonl,100644,blob,53f8a845582fd1b7deef13e7b95d2193592baef5,14253,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_LEDGER_V2.jsonl,100644,blob,ee977dcc331cb33c0c8b599c427b08b05408672b,20495,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_STATUS.md,100644,blob,d70f43e9cbd9cfcd101520a62bd6f5d757eb4df4,360,64175fc355175ff316d0213c811d543865d119d2,False,False
AUTORUN_STATUS_V2.md,100644,blob,cc13b33ea1165f95d8aa3a0405a5f1a0cb929d58,1009,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_1K_PILOT_FINAL_EXECUTION_REPORT.md,100644,blob,00582fe9d26ff00cf86cf64d2d7f38cb107d00bb,399,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_1K_PILOT_STOP_GO_REPORT.md,100644,blob,c8461409b2f3b934033012d6203fbdf54dbb9aec,281,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CURRENT_NEXT_ACTION.md,100644,blob,93db10f6b4f31843e9085ffda8fade3769ea49f5,1032,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_100_PERCENT_PRE_RUN_EXECUTION_HANDBOOK.md,100644,blob,26a353c40d927c6e2e32efc923e76694d2678fe2,17513,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_100_PERCENT_PRE_RUN_READINESS_REPORT.md,100644,blob,c9c75219827c110e65b23207e3b7aa94e29bc5eb,4330,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_COMPLETE_EXECUTION_AND_RUN_HANDBOOK.md,100644,blob,66d3e7c834f382f0418bc4695485e6df051d99b7,19958,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_FINAL_EXECUTION_HANDBOOK.md,100644,blob,b049276ea592dd3e8809395f0dd2df9ef0ea1d34,10646,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_FINAL_RUNTIME_HARDENING_REPORT.md,100644,blob,fff5a8928f9fd3d08b5755b24a1a9e5527cf708e,10375,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_FINAL_RUN_READY_CLOSURE_REPORT.md,100644,blob,0fcb2edd021e4737f9e3980055f11f099c1038ab,3210,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_FINAL_RUN_READY_EXECUTION_HANDBOOK.md,100644,blob,76e30ab33c44719c0f7430890fbcaddfe4ef9c7e,16797,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_MAX_PREEXECUTION_BUILD_REPORT.md,100644,blob,6d5b793e75ba38c761c8588f5f77685a9e265716,8355,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_REAL_EXECUTION_CLOSURE_REPORT.md,100644,blob,12bf5369769ac5061dd8d6f3f3cecb09da027ee0,8825,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_CVPR_RUN_READY_EXECUTION_HANDBOOK.md,100644,blob,4cdc2fecfd18ae2e3a3896467994f20e31d5fda4,24828,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_EXECUTION_AND_HANDOFF_REPORT.md,100644,blob,74532de27305387eace7af6d2ab98657da136223,1300,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_FORENSIC_AUDIT_AND_MAXIMUM_CEILING_REPORT.md,100644,blob,9ac44cbe2730b78a520650428c1917f8096667a3,22147,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_KAGGLE_DEPENDENCY_AND_ASSET_GUIDE.md,100644,blob,1dab9b489118d43e07bd982faedf53c58596d2ef,2447,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_KAGGLE_INPUT_BUNDLE_CATALOG.md,100644,blob,8133aa0852e161b792f1d4b8e6215036421ae3bd,737,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_KAGGLE_RUN_LAUNCHBOARD.md,100644,blob,79eb4f15d01d83f52567261ef6e2f554afb59705,3457,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_KAGGLE_T4X2_EXECUTION_HANDBOOK.md,100644,blob,9ae0e0a755b895c2793819a083875b24bd50204c,1252,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_KAGGLE_UNIVERSAL_ACCOUNT_HANDBOOK.md,100644,blob,17b26b89805e320eac49caa85238d9aecb03d0f1,5146,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_MAX_CEILING_EXECUTION_HANDBOOK.md,100644,blob,28828ee422d1e2d8af4349c8243823b053acc8ef,1740,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_MAX_CEILING_PRE_RUN_READINESS_REPORT.md,100644,blob,c775baab58c4f407b0c59415cff5e6080ac32539,3858,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_MAX_CEILING_SINGLE_FILE_HANDOFF.md,100644,blob,877fd36822299974410422dcba10b6df82c50d66,1091,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_PHASE1_NEXT_ACTION.md,100644,blob,f7cb127b77c415efced0d27bdb5948099c7a79aa,359,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_PHASE1_PRE_GPU_COMPLETION_REPORT.md,100644,blob,c4eed642e2ba095ee5b4427626e48ec083ffefa8,1555,64175fc355175ff316d0213c811d543865d119d2,False,False
CERTGEN_POST_CACHE_FINAL_FIX_REPORT.md,100644,blob,9c3b1d46671d4cbbaf5faa72b0488b1c2dc5b1af,5147,64175fc355175ff316d0213c811d543865d119d2,False,False
CITATION.cff,100644,blob,1f2889d42da9251066bf19618f2db01b3f0837b2,313,64175fc355175ff316d0213c811d543865d119d2,False,False
KAGGLE_ASSET_SETUP.md,100644,blob,8ccad50d1a317bf594b860b7ccc786fde606e26a,2353,64175fc355175ff316d0213c811d543865d119d2,False,False
LICENSE,100644,blob,e3c89aa399478b4a95c780ed89c51a2917537dc5,256,64175fc355175ff316d0213c811d543865d119d2,False,False
README.md,100644,blob,1cefaf05524afe7a86e08ca36e192916618c1ff1,1625,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,100644,blob,d63dcf60719397e7a4c35093c66c4e0d90a0bc72,642545,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.manifest.json,100644,blob,eeec6d4db5d2360f56ccbf54c312afbc23cdb352,110008,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.sha256,100644,blob,82edb8b863a4006ba162559704fbcc8038992cac,114,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/fixture_only/PHASE1_REHEARSAL.json,100644,blob,c8a3ca7bd2cded02ceb3a7a254551a2b2a694ffd,4663,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/generation/BUILD_PLAN.json,100644,blob,6e402674734eba5a176de7ce38fcf9b16af6b7af,630,64175fc355175ff316d0213c811d543865d119d2,True,False
