simulation_id,scenario_id,scenario_family,replicate_id,seed,dimension,sample_budget,effect_size,alpha,kernel,bandwidth,stopping_rule,multiplicity_rule,representation_count,model_count,reference_reuse,decision,stopping_time,coverage,false_positive,false_negative,runtime_seconds,true_mean,confidence_width,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
68a298f64aa009e8831c,finite_reference,finite_reference_population,0,2365686742,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0006239580106921494,0.0,0.18209213411654696,True,True,True,False
9fa95ab193786d308b05,finite_reference,finite_reference_population,1,3008756866,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0006542089977301657,0.0,0.18209213411654696,True,True,True,False
fd7fb3b080f310c92fdc,finite_reference,finite_reference_population,2,3393176893,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0006049170042388141,0.0,0.18209213411654696,True,True,True,False
596a96eda119270e2806,finite_reference,finite_reference_population,3,212996387,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00056975003099069,0.0,0.18209213411654696,True,True,True,False
1ae447098b7bdcde8971,finite_reference,finite_reference_population,4,3373226702,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0005595000111497939,0.0,0.18209213411654696,True,True,True,False
6166af92407c2ac00864,finite_reference,finite_reference_population,5,1923557053,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0005551660433411598,0.0,0.18209213411654696,True,True,True,False
35754aa7cd569d4d9016,finite_reference,finite_reference_population,6,3892963529,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0005582090234383941,0.0,0.18209213411654696,True,True,True,False
2a9eee8058ed8b7f5b46,finite_reference,finite_reference_population,7,2725255184,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0005557920085266232,0.0,0.18209213411654696,True,True,True,False
5034144195c39398b3d8,finite_reference,finite_reference_population,8,1661233889,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0004835830186493695,0.0,0.18209213411654696,True,True,True,False
5002d09b357417cf8da5,finite_reference,finite_reference_population,9,2373251936,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00043166696559637785,0.0,0.18209213411654696,True,True,True,False
14d235fadcd25a7e3439,finite_reference,finite_reference_population,10,3100458798,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0004264999879524112,0.0,0.18209213411654696,True,True,True,False
91b503c44bcb35a74325,finite_reference,finite_reference_population,11,2167296519,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00042279099579900503,0.0,0.18209213411654696,True,True,True,False
d0b59c3329edf6f9f02b,finite_reference,finite_reference_population,12,2760901927,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.00042033300269395113,0.0,0.18209213411654696,True,True,True,False
cf249a2102cdbc59a593,finite_reference,finite_reference_population,13,1457876201,16,5000,0.0,0.05,rbf,median,anytime,bonferroni,1,2,False,UNRESOLVED,5000,True,False,False,0.0004170419997535646,0.0,0.18209213411654696,True,True,True,False
