policy,validity_status,model_count,edge_count,resolved_edges,unresolved_edges,incorrect_edges,samples_consumed,sample_cost_units,cost_per_certified_edge,cost_per_resolved_model,graph_coverage,confirmatory_eligible,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed,replicate_id
uniform,VALIDITY_INHERITED,8,28,6,22,0,12000,30720.0,5120.0,5120.0,0.21428571428571427,True,True,True,True,False,0
uniform,VALIDITY_INHERITED,8,28,6,22,0,12000,30704.0,5117.333333333333,5117.333333333333,0.21428571428571427,True,True,True,True,False,1
uniform,VALIDITY_INHERITED,8,28,5,23,0,12000,30768.0,6153.6,6153.6,0.17857142857142858,True,True,True,True,False,2
uniform,VALIDITY_INHERITED,8,28,6,22,0,12000,30736.0,5122.666666666667,5122.666666666667,0.21428571428571427,True,True,True,True,False,3
round_robin,VALIDITY_INHERITED,8,28,6,22,0,12000,30640.0,5106.666666666667,5106.666666666667,0.21428571428571427,True,True,True,True,False,0
round_robin,VALIDITY_INHERITED,8,28,6,22,0,12000,30672.0,5112.0,5112.0,0.21428571428571427,True,True,True,True,False,1
round_robin,VALIDITY_INHERITED,8,28,6,22,0,12000,30784.0,5130.666666666667,5130.666666666667,0.21428571428571427,True,True,True,True,False,2
round_robin,VALIDITY_INHERITED,8,28,6,22,0,12000,30656.0,5109.333333333333,5109.333333333333,0.21428571428571427,True,True,True,True,False,3
uncertainty_first,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,34112.0,34112.0,34112.0,0.0,False,True,True,True,False,0
uncertainty_first,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,32496.0,32496.0,32496.0,0.0,False,True,True,True,False,1
uncertainty_first,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,33392.0,33392.0,33392.0,0.0,False,True,True,True,False,2
uncertainty_first,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,33408.0,33408.0,33408.0,0.0,False,True,True,True,False,3
largest_confidence_width,EXPLORATORY_NOT_PROVEN,8,28,6,22,0,12000,30736.0,5122.666666666667,5122.666666666667,0.21428571428571427,False,True,True,True,False,0
largest_confidence_width,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,30624.0,6124.8,6124.8,0.17857142857142858,False,True,True,True,False,1
largest_confidence_width,EXPLORATORY_NOT_PROVEN,8,28,6,22,0,12000,30608.0,5101.333333333333,5101.333333333333,0.21428571428571427,False,True,True,True,False,2
largest_confidence_width,EXPLORATORY_NOT_PROVEN,8,28,6,22,0,12000,30640.0,5106.666666666667,5106.666666666667,0.21428571428571427,False,True,True,True,False,3
graph_frontier,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,30752.0,6150.4,5125.333333333333,0.17857142857142858,False,True,True,True,False,0
graph_frontier,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,28224.0,5644.8,4704.0,0.17857142857142858,False,True,True,True,False,1
graph_frontier,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,30960.0,6192.0,5160.0,0.17857142857142858,False,True,True,True,False,2
graph_frontier,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,31200.0,6240.0,5200.0,0.17857142857142858,False,True,True,True,False,3
cost_normalized_width,EXPLORATORY_NOT_PROVEN,8,28,4,24,0,12000,19568.0,4892.0,3261.3333333333335,0.14285714285714285,False,True,True,True,False,0
cost_normalized_width,EXPLORATORY_NOT_PROVEN,8,28,4,24,0,12000,19392.0,4848.0,3232.0,0.14285714285714285,False,True,True,True,False,1
cost_normalized_width,EXPLORATORY_NOT_PROVEN,8,28,5,23,0,12000,19408.0,3881.6,2772.5714285714284,0.17857142857142858,False,True,True,True,False,2
cost_normalized_width,EXPLORATORY_NOT_PROVEN,8,28,4,24,0,12000,19424.0,4856.0,2774.8571428571427,0.14285714285714285,False,True,True,True,False,3
expected_resolution_gain,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,21232.0,21232.0,21232.0,0.0,False,True,True,True,False,0
expected_resolution_gain,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,22144.0,22144.0,22144.0,0.0,False,True,True,True,False,1
expected_resolution_gain,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,21440.0,21440.0,21440.0,0.0,False,True,True,True,False,2
expected_resolution_gain,EXPLORATORY_NOT_PROVEN,8,28,0,28,0,12000,21792.0,21792.0,21792.0,0.0,False,True,True,True,False,3
