scenario,model_count,replicate_id,number_of_comparisons,resolved_edges,unresolved_edges,incorrect_edges,graph_density,transitive_reduction_edges,transitive_reduction_correct,cycles,connected_components,FWER_event,samples_consumed,sample_cost_units,cost_per_certified_edge,CPU_seconds,memory_peak_platform_units,pairwise_matrix_materialized,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
uniformly_spaced,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,0.0071515419986099005,41943040,False,True,True,True,False
uniformly_spaced,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,6.749999010935426e-05,41943040,False,True,True,True,False
uniformly_spaced,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00023499998496845365,41943040,False,True,True,True,False
uniformly_spaced,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00018666699179448187,41943040,False,True,True,True,False
uniformly_spaced,10,0,45,2,43,0,0.044444444444444446,2,True,0,8,False,5744,5744.0,2872.0,0.000674375012749806,41943040,False,True,True,True,False
uniformly_spaced,10,1,45,2,43,0,0.044444444444444446,2,True,0,8,False,5728,5728.0,2864.0,0.0006594580190721899,41943040,False,True,True,True,False
uniformly_spaced,20,0,190,67,123,0,0.3526315789473684,63,True,0,1,False,21344,21344.0,318.56716417910445,0.002696457988349721,41992192,False,True,True,True,False
uniformly_spaced,20,1,190,67,123,0,0.3526315789473684,64,True,0,1,False,21280,21280.0,317.6119402985075,0.0026636249967850745,41992192,False,True,True,True,False
uniformly_spaced,50,0,1225,855,370,0,0.6979591836734694,336,True,0,1,False,101024,101024.0,118.15672514619882,0.018834458984201774,42237952,False,True,True,True,False
uniformly_spaced,50,1,1225,848,377,0,0.6922448979591836,341,True,0,1,False,101280,101280.0,119.43396226415095,0.018689333024667576,42237952,False,True,True,True,False
uniformly_spaced,100,0,4950,4117,833,0,0.8317171717171717,841,True,0,1,False,336064,336064.0,81.62837017245567,0.10086720899562351,44138496,False,True,True,True,False
uniformly_spaced,100,1,4950,4120,830,0,0.8323232323232324,837,True,0,1,False,336032,336032.0,81.56116504854369,0.09705979100544937,44892160,False,True,True,True,False
many_near_ties,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,0.00017400001524947584,44892160,False,True,True,True,False
many_near_ties,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.991699825040996e-05,44892160,False,True,True,True,False
many_near_ties,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00017412498709745705,44892160,False,True,True,True,False
many_near_ties,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001609169994480908,44892160,False,True,True,True,False
many_near_ties,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.000633040996035561,44892160,False,True,True,True,False
many_near_ties,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006225419929251075,44892160,False,True,True,True,False
many_near_ties,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0025195830094162375,44892160,False,True,True,True,False
many_near_ties,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0025015829887706786,44892160,False,True,True,True,False
many_near_ties,50,0,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.015805707982508466,44892160,False,True,True,True,False
many_near_ties,50,1,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.015800416993442923,44892160,False,True,True,True,False
many_near_ties,100,0,4950,10,4940,0,0.00202020202020202,10,True,0,90,False,633600,633600.0,63360.0,0.06441929101129062,44892160,False,True,True,True,False
many_near_ties,100,1,4950,19,4931,0,0.0038383838383838384,19,True,0,84,False,633552,633552.0,33344.84210526316,0.0641581249947194,44892160,False,True,True,True,False
clustered_quality_tiers,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,8.774999878369272e-05,44908544,False,True,True,True,False
clustered_quality_tiers,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,3.845800529234111e-05,44908544,False,True,True,True,False
clustered_quality_tiers,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016508300905115902,44908544,False,True,True,True,False
clustered_quality_tiers,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001588340091984719,44908544,False,True,True,True,False
clustered_quality_tiers,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.000620749982772395,44908544,False,True,True,True,False
clustered_quality_tiers,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.00062112498562783,44908544,False,True,True,True,False
clustered_quality_tiers,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0024955830012913793,44908544,False,True,True,True,False
clustered_quality_tiers,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0024980840098578483,44908544,False,True,True,True,False
clustered_quality_tiers,50,0,1225,21,1204,0,0.017142857142857144,21,True,0,41,False,156768,156768.0,7465.142857142857,0.015746209013741463,44908544,False,True,True,True,False
clustered_quality_tiers,50,1,1225,22,1203,0,0.017959183673469388,22,True,0,39,False,156768,156768.0,7125.818181818182,0.015906999993603677,44908544,False,True,True,True,False
clustered_quality_tiers,100,0,4950,1451,3499,0,0.29313131313131313,1414,True,0,1,False,580800,580800.0,400.27567195037904,0.07644541701301932,44924928,False,True,True,True,False
clustered_quality_tiers,100,1,4950,1442,3508,0,0.2913131313131313,1400,True,0,1,False,580928,580928.0,402.8626907073509,0.0707211249973625,44924928,False,True,True,True,False
heterogeneous_variance,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,8.841700037010014e-05,44924928,False,True,True,True,False
heterogeneous_variance,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.570800228975713e-05,44924928,False,True,True,True,False
heterogeneous_variance,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001749589864630252,44924928,False,True,True,True,False
heterogeneous_variance,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016774999676272273,44924928,False,True,True,True,False
heterogeneous_variance,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006418330012820661,44924928,False,True,True,True,False
heterogeneous_variance,10,1,45,1,44,0,0.022222222222222223,1,True,0,9,False,5760,5760.0,5760.0,0.0006442080193664879,44924928,False,True,True,True,False
heterogeneous_variance,20,0,190,44,146,0,0.23157894736842105,43,True,0,2,False,22784,22784.0,517.8181818181819,0.002648834022693336,44924928,False,True,True,True,False
heterogeneous_variance,20,1,190,40,150,0,0.21052631578947367,40,True,0,1,False,22864,22864.0,571.6,0.002624541986733675,44924928,False,True,True,True,False
heterogeneous_variance,50,0,1225,736,489,0,0.6008163265306122,305,True,0,1,False,111616,111616.0,151.65217391304347,0.018346791999647394,44924928,False,True,True,True,False
