scenario,dimension,gamma,frozen_confirmatory_gamma,replicates,mean_effect,between_replicate_effect_sd,power,power_wilson_95,mean_stopping_time,policy_status,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
near_tie,64,0.125,False,25,-0.000541727769166328,0.0022869892753513556,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,64,0.25,False,25,-0.0008639205980416629,0.0035786197727545157,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,64,0.5,True,25,-0.0011014611522059746,0.004401708980911907,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
near_tie,64,1.0,False,25,-0.0009031978224004697,0.003392618152101895,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,64,2.0,False,25,-0.00031189773159949886,0.0010838250278963782,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,64,0.125,False,25,0.0004713093942737397,0.0026513888265098087,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,64,0.25,False,25,0.0007214743631502079,0.004162347434692179,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,64,0.5,True,25,0.0008487585289376351,0.005147837035815434,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
covariance_perturbation,64,1.0,False,25,0.0005978514214820556,0.003993887817887201,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,64,2.0,False,25,0.00016134478756170273,0.001271864635296822,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
