sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
1,baseline_fetch,git fetch origin main,.,2026-08-12T14:15:48.974206Z,2026-08-12T14:15:49.804185Z,0.829442,0,PASS,reports/icml2027/remaining_closure/command_logs/0001_baseline_fetch.stdout.log,reports/icml2027/remaining_closure/command_logs/0001_baseline_fetch.stderr.log,,,,False
2,baseline_freeze,python3 scripts/icml2027/build_remaining_closure_baseline.py,.,2026-08-12T14:15:49.883077Z,2026-08-12T14:15:50.042986Z,0.159480,0,PASS,reports/icml2027/remaining_closure/command_logs/0002_baseline_freeze.stdout.log,reports/icml2027/remaining_closure/command_logs/0002_baseline_freeze.stderr.log,"reports/icml2027/remaining_closure/CERTGEN_REMAINING_CLOSURE_BASELINE.md,reports/icml2027/remaining_closure/CERTGEN_REMAINING_CLOSURE_BASELINE.json",,,False
3,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-12T14:16:03.000699Z,2026-08-12T14:16:03.129267Z,0.128255,0,PASS,reports/icml2027/remaining_closure/command_logs/0003_baseline_compileall.stdout.log,reports/icml2027/remaining_closure/command_logs/0003_baseline_compileall.stderr.log,,,,False
4,baseline_imports,python3 -c 'import certgen; import certgen.icml2027; import certgen.icml2027.notebook_runtime; import certgen.icml2027.production_mmd; import certgen.metrics.streams',.,2026-08-12T14:16:03.210168Z,2026-08-12T14:16:03.375524Z,0.164995,0,PASS,reports/icml2027/remaining_closure/command_logs/0004_baseline_imports.stdout.log,reports/icml2027/remaining_closure/command_logs/0004_baseline_imports.stderr.log,,,,False
5,baseline_default_pytest,python3 -m pytest -q,.,2026-08-12T14:16:03.456814Z,2026-08-12T14:16:24.125340Z,20.668249,0,PASS,reports/icml2027/remaining_closure/command_logs/0005_baseline_default_pytest.stdout.log,reports/icml2027/remaining_closure/command_logs/0005_baseline_default_pytest.stderr.log,,,,False
6,baseline_full_marker_pytest,python3 -m pytest -q -m 'integration_audit or not integration_audit',.,2026-08-12T14:16:29.345267Z,2026-08-12T14:18:08.905257Z,99.558400,0,PASS,reports/icml2027/remaining_closure/command_logs/0006_baseline_full_marker_pytest.stdout.log,reports/icml2027/remaining_closure/command_logs/0006_baseline_full_marker_pytest.stderr.log,,,,False
7,baseline_historical_wrappers,python3 -m pytest -q -o addopts= tests/test_v2_audit.py::test_v2_audit_runs_and_writes_outputs tests/test_v3_docs_and_audit.py::test_v3_final_audit_runs tests/test_v4_audit.py::test_v4_final_audit_runs tests/test_v5_audit.py::test_v5_final_audit_runs,.,2026-08-12T14:18:13.829083Z,2026-08-12T14:19:35.766780Z,81.936898,0,PASS,reports/icml2027/remaining_closure/command_logs/0007_baseline_historical_wrappers.stdout.log,reports/icml2027/remaining_closure/command_logs/0007_baseline_historical_wrappers.stderr.log,,,,False
8,baseline_bootstrap_security,python3 -m pytest -q -o addopts= tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-12T14:19:55.588202Z,2026-08-12T14:20:01.603645Z,6.014977,0,PASS,reports/icml2027/remaining_closure/command_logs/0008_baseline_bootstrap_security.stdout.log,reports/icml2027/remaining_closure/command_logs/0008_baseline_bootstrap_security.stderr.log,,,,False
9,baseline_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-12T14:20:01.691925Z,2026-08-12T14:20:01.852187Z,0.159792,0,PASS,reports/icml2027/remaining_closure/command_logs/0009_baseline_diagnostic_bundle.stdout.log,reports/icml2027/remaining_closure/command_logs/0009_baseline_diagnostic_bundle.stderr.log,,,,False
10,baseline_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-12T14:20:01.937927Z,2026-08-12T14:20:02.110568Z,0.172189,0,PASS,reports/icml2027/remaining_closure/command_logs/0010_baseline_preflight_bundle.stdout.log,reports/icml2027/remaining_closure/command_logs/0010_baseline_preflight_bundle.stderr.log,,,,False
11,baseline_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T14:20:02.196160Z,2026-08-12T14:20:02.329881Z,0.133273,0,PASS,reports/icml2027/remaining_closure/command_logs/0011_baseline_provenance.stdout.log,reports/icml2027/remaining_closure/command_logs/0011_baseline_provenance.stderr.log,,,,False
